Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2018/09/02,163,WMBF,-,96.0,96.0,96.0,96.0,96.00,0.0,0.0,96.00,200.00,97.00,"19,200.00",1,-1.0,0.0,-1.03,0.0,0.0,151.00,94.00
2019/09/15,162,WMBF,41.35,98.0,98.0,95.0,95.0,95.00,0.0,0.0,95.06,463.00,100.00,"44,015.00",2,-5.0,3.0,-5.0,3.16,-0.07,115.00,69.00
2019/09/16,169,WMBF,33.76,94.0,94.0,93.0,93.0,93.00,0.0,0.0,93.68,147.00,95.00,"13,771.00",2,-2.0,1.0,-2.11,1.08,-0.73,115.00,69.00
2019/09/18,171,WMBF,36.2,92.0,92.0,92.0,92.0,92.00,0.0,0.0,92.00,50.00,93.00,"4,600.00",1,-1.0,0.0,-1.08,0.0,0.0,115.00,69.00
2019/09/19,150,WMBF,37.4,93.0,93.0,93.0,93.0,93.00,0.0,0.0,93.00,854.00,92.00,"79,422.00",2,1.0,0.0,1.09,0.0,0.0,115.00,69.00
2019/09/25,166,WMBF,40.18,94.0,94.0,93.0,93.0,93.00,0.0,0.0,93.33,300.00,93.00,"28,000.00",3,0.0,1.0,0.0,1.08,-0.36,115.00,69.00
2019/09/26,167,WMBF,43.36,93.0,93.0,92.0,92.0,92.00,0.0,0.0,92.71,700.00,93.00,"64,900.00",3,-1.0,1.0,-1.08,1.09,-0.78,115.00,69.00
2019/08/20,165,WMBF,30.14,98.0,98.0,98.0,98.0,98.00,0.0,0.0,98.00,"1,100.00",100.00,"107,800.00",2,-2.0,0.0,-2.0,0.0,0.0,115.00,69.00
2019/08/21,161,WMBF,27.9,97.0,97.0,96.0,96.0,96.00,0.0,0.0,96.10,174.00,98.00,"16,721.00",4,-2.0,1.0,-2.04,1.04,-0.1,115.00,69.00
2019/08/22,171,WMBF,25.35,96.0,96.0,95.0,95.0,95.00,0.0,0.0,95.76,328.00,96.00,"31,408.00",4,-1.0,1.0,-1.04,1.05,-0.8,115.00,69.00
2019/08/26,171,WMBF,26.54,92.0,92.0,89.0,89.0,89.00,0.0,0.0,90.48,400.00,93.00,"36,190.00",8,-4.0,3.0,-4.3,3.37,-1.66,115.00,69.00
2019/08/27,167,WMBF,30.75,90.0,90.0,90.0,90.0,90.00,0.0,0.0,90.00,"1,000.00",89.00,"90,000.00",1,1.0,0.0,1.12,0.0,0.0,115.00,69.00
2019/08/29,170,WMBF,25.94,89.0,89.0,89.0,89.0,89.00,0.0,0.0,89.00,40.00,90.00,"3,560.00",1,-1.0,0.0,-1.11,0.0,0.0,115.00,69.00
2019/09/01,168,WMBF,33.53,90.0,91.0,90.0,91.0,91.00,0.0,0.0,90.74,38.00,89.00,"3,448.00",2,2.0,1.0,2.25,1.11,0.29,115.00,69.00
2019/09/02,171,WMBF,42.47,95.0,95.0,94.0,94.0,94.00,0.0,0.0,94.09,110.00,91.00,"10,350.00",2,3.0,1.0,3.3,1.06,-0.1,115.00,69.00
2019/09/03,171,WMBF,52.44,95.0,95.0,95.0,95.0,95.00,0.0,0.0,95.00,547.00,94.00,"51,965.00",1,1.0,0.0,1.06,0.0,0.0,115.00,69.00
2019/09/04,168,WMBF,50.4,96.0,97.0,96.0,97.0,97.00,0.0,0.0,96.33,300.00,95.00,"28,900.00",2,2.0,1.0,2.11,1.04,0.69,115.00,69.00
2019/09/05,166,WMBF,52.44,98.0,100.0,98.0,99.0,99.00,0.0,0.0,99.29,"2,142.00",97.00,"212,680.00",10,2.0,2.0,2.06,2.04,-0.29,115.00,69.00
2019/09/10,172,WMBF,39.44,100.0,100.0,100.0,100.0,100.00,0.0,0.0,100.00,250.00,99.00,"25,000.00",2,1.0,0.0,1.01,0.0,0.0,115.00,69.00
2019/07/29,165,WMBF,46.95,97.0,98.0,97.0,97.0,97.00,0.0,0.0,97.63,"1,800.00",97.00,"175,740.00",7,0.0,1.0,0.0,1.03,-0.65,104.00,69.00
2019/07/30,171,WMBF,49.79,98.0,99.0,98.0,99.0,99.00,0.0,0.0,98.05,190.00,97.00,"18,630.00",3,2.0,1.0,2.06,1.02,0.96,104.00,69.00
2019/07/31,169,WMBF,42.44,98.0,98.0,96.0,97.0,97.00,0.0,0.0,96.57,"1,350.00",99.00,"130,366.00",9,-2.0,2.0,-2.02,2.08,0.45,104.00,69.00
2019/08/01,167,WMBF,59.52,98.0,106.0,98.0,106.0,106.00,0.0,0.0,105.37,"4,654.00",97.00,"490,378.00",26,9.0,8.0,9.28,8.16,0.6,106.00,69.00
2019/08/04,169,WMBF,58.82,108.0,113.0,103.0,103.0,103.00,0.0,0.0,108.75,"4,764.00",106.00,"518,078.00",23,-3.0,10.0,-2.83,9.71,-5.58,113.00,69.00
