Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/26,113,KSBBLD87,36.15,1052.1,1052.1,1052.1,1052.1,"1,052.10",0.0,0.0,"1,052.10",25.00,"1,052.10","26,302.50",1,0.0,0.0,0.0,0.0,0.0,"1,110.00",983.50,,
2025/08/27,115,KSBBLD87,38.28,1055.1,1055.1,1055.1,1055.1,"1,055.10",0.0,0.0,"1,055.10",25.00,"1,052.10","26,377.50",1,3.00,0.0,0.29,0.0,0.0,"1,110.00",983.50,,
2025/09/01,115,KSBBLD87,35.56,1070.0,1070.0,1070.0,1070.0,"1,070.00",0.0,0.0,"1,070.00",15.00,"1,055.10","16,050.00",1,14.9,0.0,1.41,0.0,0.0,"1,110.00","1,003.00",,
2025/09/07,121,KSBBLD87,40.52,1080.0,1082.0,1072.0,1072.0,"1,072.00",0.0,0.0,"1,076.69",105.00,"1,070.00","113,052.50",4,2.0,10.0,0.19,0.93,-0.44,"1,110.00","1,010.00",,
2025/09/21,117,KSBBLD87,40.06,1090.0,1090.0,1090.0,1090.0,"1,090.00",0.0,0.0,"1,090.00",200.00,"1,072.00","218,000.00",1,18.0,0.00,1.68,0.0,0.0,"1,110.00","1,029.00",,
2025/09/25,114,KSBBLD87,38.66,1110.0,1110.0,1110.0,1110.0,"1,110.00",0.0,0.0,"1,110.00",100.00,"1,090.00","111,000.00",1,20.0,0.0,1.83,0.0,0.0,"1,110.00","1,029.00","1,065.47","1,044.60"
2025/07/30,114,KSBBLD87,28.96,1055.0,1055.0,1055.0,1055.0,"1,055.00",0.0,0.0,"1,055.00",25.00,"1,065.00","26,375.00",1,-10.0,0.0,-0.94,0.0,0.0,"1,110.00",983.50,,
2025/07/31,111,KSBBLD87,29.26,1041.3,1041.3,1041.3,1041.3,"1,041.30",0.0,0.0,"1,041.30",25.00,"1,055.00","26,032.50",1,-13.7,0.0,-1.3,0.0,0.0,"1,110.00",983.50,,
2025/08/04,113,KSBBLD87,37.73,1048.0,1054.0,1048.0,1052.0,"1,054.00",-2.0,0.0,"1,052.00",75.00,"1,041.30","78,900.00",4,10.7,6.0,1.03,0.57,0.0,"1,110.00",983.50,,
2025/08/06,115,KSBBLD87,35.7,1044.4,1044.4,1044.4,1044.4,"1,044.40",0.0,0.0,"1,044.40",25.00,"1,052.00","26,110.00",1,-7.60,0.00,-0.72,0.0,0.0,"1,110.00",983.50,,
2025/08/12,118,KSBBLD87,31.85,1050.0,1050.0,1050.0,1050.0,"1,050.00",0.0,0.0,"1,050.00",10.00,"1,044.40","10,500.00",1,5.6,0.0,0.54,0.0,0.0,"1,110.00",983.50,,
2025/08/21,111,KSBBLD87,35.44,1052.1,1052.1,1052.1,1052.1,"1,052.10",0.0,0.0,"1,052.10",25.00,"1,050.00","26,302.50",1,2.1,0.0,0.2,0.0,0.0,"1,110.00",983.50,,
2025/07/07,109,KSBBLD87,21.11,1080.0,1080.0,1080.0,1080.0,"1,080.00",0.0,0.0,"1,080.00",25.00,"1,100.00","27,000.00",1,-20.0,0.0,-1.82,0.0,0.0,"1,110.00",980.00,,
2025/07/14,116,KSBBLD87,33.13,1080.0,1080.0,1080.0,1080.0,"1,080.00",0.0,0.0,"1,080.00",25.00,"1,080.00","27,000.00",1,0.0,0.00,0.0,0.0,0.0,"1,110.00",980.00,,
2025/07/15,113,KSBBLD87,34.64,1080.0,1080.0,1080.0,1080.0,"1,080.00",0.0,0.0,"1,080.00",25.00,"1,080.00","27,000.00",1,0.00,0.00,0.0,0.0,0.0,"1,110.00",980.00,,
2025/07/16,121,KSBBLD87,30.91,1100.0,1100.0,1100.0,1100.0,"1,100.00",0.0,0.0,"1,100.00",11.00,"1,080.00","12,100.00",1,20.0,0.0,1.85,0.0,0.0,"1,110.00",980.00,,
2025/07/24,114,KSBBLD87,27.56,1085.0,1085.0,1085.0,1085.0,"1,085.00",0.0,0.0,"1,085.00",15.00,"1,100.00","16,275.00",1,-15.0,0.0,-1.36,0.0,0.0,"1,110.00",983.50,,
2025/07/28,112,KSBBLD87,32.53,1075.0,1075.0,1065.0,1072.81,"1,065.00",7.81,0.01,"1,072.81",128.00,"1,085.00","137,320.00",5,-12.19,10.0,-1.12,0.94,0.0,"1,110.00",983.50,,
2025/06/26,114,KSBBLD87,38.66,1110.0,1110.0,1110.0,1110.0,"1,110.00",0.0,0.0,"1,110.00",100.00,"1,090.00","111,000.00",1,20.0,0.0,1.83,0.0,0.0,"1,110.00","1,029.00","1,065.47","1,044.60"
2025/05/19,117,KSBBLD87,34.48,1104.0,1104.0,1104.0,1104.0,"1,104.00",0.0,0.0,"1,104.00",126.00,"1,110.00","139,104.00",1,-6.0,0.00,-0.54,0.0,0.0,"1,110.00",980.00,,
2025/05/20,109,KSBBLD87,29.43,1099.0,1099.0,1099.0,1099.0,"1,099.00",0.0,0.0,"1,099.00",25.00,"1,104.00","27,475.00",1,-5.0,0.0,-0.45,0.0,0.0,"1,110.00",980.00,,
2025/05/21,114,KSBBLD87,38.66,1110.0,1110.0,1110.0,1110.0,"1,110.00",0.0,0.0,"1,110.00",100.00,"1,090.00","111,000.00",1,20.0,0.0,1.83,0.0,0.0,"1,110.00","1,029.00","1,065.47","1,044.60"
2025/05/22,114,KSBBLD87,25.12,1100.0,1100.0,1100.0,1100.0,"1,100.00",0.0,0.0,"1,100.00",110.00,"1,099.00","121,000.00",2,1.00,0.00,0.09,0.0,0.0,"1,110.00",980.00,,
2025/05/26,121,KSBBLD87,24.05,1104.0,1104.0,1094.0,1094.0,"1,094.00",0.0,0.0,"1,099.47",75.00,"1,100.00","82,460.00",4,-6.0,10.0,-0.55,0.91,-0.5,"1,110.00",980.00,,
2025/06/08,114,KSBBLD87,38.23,1100.0,1100.0,1100.0,1100.0,"1,100.00",0.0,0.0,"1,100.00",25.00,"1,094.00","27,500.00",1,6.0,0.0,0.55,0.0,0.0,"1,110.00",980.00,,
2025/06/09,117,KSBBLD87,45.81,1104.0,1104.0,1099.9,1100.0,"1,100.00",0.0,0.0,"1,100.19",294.00,"1,100.00","323,455.10",5,0.0,4.1,0.0,0.37,-0.02,"1,110.00",980.00,,
2024/08/12,119,KSBBLD87,64.92,995.0,1014.8,995.0,1014.8,"1,014.80",0.0,0.0,"1,002.47",90.00,995.00,"90,222.00",4,19.8,19.80,1.99,1.99,1.22,"1,026.00",880.00,,
2024/09/09,114,KSBBLD87,38.17,1016.0,1016.0,1016.0,1016.0,"1,016.00",0.0,0.0,"1,016.00",75.00,"1,030.20","76,200.00",2,-14.20,0.0,-1.38,0.0,0.0,"1,061.00",880.00,,
2024/12/04,112,KSBBLD87,26.86,1061.0,1061.0,1061.0,1061.0,"1,061.00",0.0,0.0,"1,061.00",25.00,"1,059.00","26,525.00",1,2.0,0.0,0.19,0.0,0.0,"1,100.00",880.00,,
2025/03/23,116,KSBBLD87,26.5,1062.0,1062.0,1062.0,1044.0,"1,062.00",-18.0,-0.02,"1,044.00",1.00,"1,062.00","1,044.00",1,-18.0,0.0,-1.69,0.0,0.0,"1,102.60",918.20,,
2025/04/20,119,KSBBLD87,40.76,1104.0,1104.0,1104.0,1104.0,"1,104.00",0.0,0.0,"1,104.00",645.00,"1,086.00","712,080.00",1,18.00,0.0,1.66,0.0,0.0,"1,104.00",980.00,,
2025/05/15,115,KSBBLD87,39.77,1110.0,1110.0,1110.0,1110.0,"1,110.00",0.0,0.0,"1,110.00",46.00,"1,095.10","51,060.00",3,14.9,0.0,1.36,0.0,0.0,"1,110.00",980.00,,
2025/07/29,114,KSBBLD87,29.32,1065.0,1065.0,1065.0,1065.0,"1,065.00",0.0,0.0,"1,065.00",25.00,"1,072.81","26,625.00",1,-7.81,0.00,-0.73,0.0,0.0,"1,110.00",983.50,,
2025/04/21,114,KSBBLD87,29.16,1092.0,1093.0,1092.0,1093.0,"1,093.00",0.0,0.0,"1,092.72",36.00,"1,104.00","39,338.00",2,-11.0,1.0,-1.0,0.09,0.03,"1,104.00",980.00,,
2025/04/22,116,KSBBLD87,31.83,1091.6,1091.6,1091.6,1091.6,"1,091.60",0.0,0.0,"1,091.60",100.00,"1,093.00","109,160.00",1,-1.4,0.0,-0.13,0.0,0.0,"1,104.00",980.00,,
2025/04/28,116,KSBBLD87,38.24,1104.0,1104.0,1104.0,1104.0,"1,104.00",0.0,0.0,"1,104.00",251.00,"1,091.60","277,104.00",1,12.4,0.0,1.14,0.0,0.0,"1,104.00",980.00,,
2025/04/29,110,KSBBLD87,28.2,1090.1,1090.1,1090.1,1090.1,"1,090.10",0.0,0.0,"1,090.10",25.00,"1,104.00","27,252.50",1,-13.9,0.0,-1.26,0.0,0.0,"1,104.00",980.00,,
2025/04/30,113,KSBBLD87,24.52,1092.0,1092.0,1092.0,1092.1,"1,092.00",0.1,0.0,"1,092.01",27.00,"1,090.10","29,484.20",2,2.0,0.0,0.18,0.0,0.01,"1,104.00",980.00,,
2025/05/04,114,KSBBLD87,27.52,1096.1,1096.1,1096.1,1096.0,"1,096.10",-0.1,0.0,"1,096.10",26.00,"1,092.10","28,498.50",3,3.9,0.0,0.36,0.0,-0.01,"1,104.00",980.00,,
2025/05/05,113,KSBBLD87,19.3,1096.0,1096.0,1096.0,1097.0,"1,096.00",1.0,0.0,"1,097.00",1.00,"1,096.00","1,097.00",1,1.0,0.0,0.09,0.0,0.0,"1,104.00",980.00,,
2025/05/11,107,KSBBLD87,29.81,1100.0,1100.0,1100.0,1100.0,"1,100.00",0.0,0.0,"1,100.00",30.00,"1,097.00","33,000.00",1,3.0,0.0,0.27,0.0,0.0,"1,104.00",980.00,,
2025/05/14,115,KSBBLD87,27.81,1095.0,1095.0,1095.0,1095.1,"1,095.00",0.1,0.0,"1,095.00",101.00,"1,100.00","110,595.10",2,-4.9,0.0,-0.45,0.0,0.01,"1,104.00",980.00,,
2025/03/24,117,KSBBLD87,24.29,1044.0,1044.0,1044.0,1042.1,"1,044.00",-1.9,0.0,"1,042.10",2.00,"1,044.00","2,084.20",1,-1.9,0.0,-0.18,0.0,0.0,"1,102.60",918.20,,
2025/03/25,118,KSBBLD87,35.69,1050.0,1050.0,1050.0,1050.0,"1,050.00",0.0,0.0,"1,050.00",50.00,"1,042.10","52,500.00",2,7.9,0.0,0.76,0.0,0.0,"1,102.60",918.20,,
2025/03/26,114,KSBBLD87,38.66,1110.0,1110.0,1110.0,1110.0,"1,110.00",0.0,0.0,"1,110.00",100.00,"1,090.00","111,000.00",1,20.0,0.0,1.83,0.0,0.0,"1,110.00","1,029.00","1,065.47","1,044.60"
2025/03/27,112,KSBBLD87,25.64,1050.0,1050.0,1047.8,1047.8,"1,047.80",0.0,0.0,"1,048.90",50.00,"1,050.00","52,445.00",2,-2.2,2.2,-0.21,0.21,-0.1,"1,102.60",918.20,,
2025/03/30,114,KSBBLD87,30.77,1047.8,1047.8,1047.8,1052.1,"1,047.80",4.3,0.0,"1,052.10",2.00,"1,047.80","2,104.20",1,4.3,0.0,0.41,0.0,0.0,"1,102.60",918.20,,
2025/04/01,117,KSBBLD87,36.32,1052.1,1073.0,1052.1,1072.27,"1,073.00",-0.73,0.0,"1,072.28",28.00,"1,052.10","30,023.70",3,20.17,20.90,1.92,1.99,0.0,"1,102.60",942.00,,
2025/04/02,113,KSBBLD87,37.27,1054.3,1054.3,1054.3,1054.3,"1,054.30",0.0,0.0,"1,054.30",25.00,"1,072.27","26,357.50",1,-17.97,0.00,-1.68,0.0,0.0,"1,102.60",942.00,,
2025/04/03,115,KSBBLD87,39.95,1060.0,1060.0,1060.0,1060.0,"1,060.00",0.0,0.0,"1,060.00",25.00,"1,054.30","26,500.00",1,5.70,0.0,0.54,0.0,0.0,"1,102.60",960.00,,
2025/04/07,117,KSBBLD87,43.8,1056.0,1056.0,1056.0,1056.0,"1,056.00",0.0,0.0,"1,056.00",50.00,"1,060.00","52,800.00",1,-4.0,0.0,-0.38,0.0,0.0,"1,102.60",965.00,,
2025/04/08,115,KSBBLD87,26.67,1069.9,1070.0,1069.9,1070.0,"1,070.00",0.0,0.0,"1,069.93",115.00,"1,056.00","123,042.50",2,14.00,0.10,1.33,0.01,0.01,"1,102.60",965.00,,
2025/04/13,115,KSBBLD87,48.88,1069.0,1091.4,1069.0,1090.15,"1,091.40",-1.25,0.0,"1,089.33",645.00,"1,070.00","702,619.00",5,20.15,22.4,1.88,2.1,0.08,"1,102.60",965.00,,
2025/04/17,110,KSBBLD87,40.45,1080.0,1087.0,1080.0,1086.0,"1,086.00",0.0,0.0,"1,084.77",200.00,"1,090.15","216,953.50",4,-4.15,7.0,-0.38,0.65,0.11,"1,102.60",980.00,,
2025/03/02,104,KSBBLD87,31.38,1055.0,1055.0,1050.0,1050.0,"1,050.00",0.0,0.0,"1,052.50",100.00,"1,070.00","105,250.00",2,-20.00,5.00,-1.87,0.48,-0.24,"1,102.60",880.00,,
2025/03/04,112,KSBBLD87,36.46,1050.0,1070.0,1050.0,1070.0,"1,070.00",0.0,0.0,"1,066.67",150.00,"1,050.00","160,000.00",2,20.0,20.0,1.9,1.9,0.31,"1,102.60",880.00,,
2025/03/06,109,KSBBLD87,28.59,1065.0,1065.0,1065.0,1065.0,"1,065.00",0.0,0.0,"1,065.00",25.00,"1,070.00","26,625.00",1,-5.00,0.00,-0.47,0.0,0.0,"1,102.60",906.00,,
2025/03/09,112,KSBBLD87,48.58,1065.0,1065.0,1065.0,1065.0,"1,065.00",0.0,0.0,"1,065.00",75.00,"1,065.00","79,875.00",3,0.0,0.00,0.0,0.0,0.0,"1,102.60",906.20,,
2025/03/10,110,KSBBLD87,45.29,1045.0,1045.0,1045.0,1045.0,"1,045.00",0.0,0.0,"1,045.00",200.00,"1,065.00","209,000.00",2,-20.0,0.0,-1.88,0.0,0.0,"1,102.60",906.20,,
2025/03/11,112,KSBBLD87,36.16,1060.0,1060.0,1060.0,1060.0,"1,060.00",0.0,0.0,"1,060.00",100.00,"1,045.00","105,999.90",4,15.0,0.0,1.44,0.0,0.0,"1,102.60",906.20,,
2025/03/12,114,KSBBLD87,29.89,1050.0,1050.0,1050.0,1050.0,"1,050.00",0.0,0.0,"1,050.00",100.00,"1,060.00","105,000.00",1,-10.0,0.0,-0.94,0.0,0.0,"1,102.60",906.20,,
2025/03/17,117,KSBBLD87,38.69,1051.6,1051.6,1051.6,1051.6,"1,051.60",0.0,0.0,"2,103.20",1.00,"1,050.00","2,103.20",1,1.6,0.0,0.15,0.0,-100.0,"1,102.60",906.20,,
2025/03/20,113,KSBBLD87,43.01,1041.3,1062.0,1041.3,1062.0,"1,062.00",0.0,0.0,"1,055.10",75.00,"1,051.60","79,132.50",2,10.4,20.7,0.99,1.99,0.65,"1,102.60",906.20,,
2025/01/28,113,KSBBLD87,36.83,1050.9,1050.9,1050.9,1050.9,"1,050.90",0.0,0.0,"1,050.90",25.00,"1,047.10","26,272.50",1,3.80,0.00,0.36,0.0,0.0,"1,102.60",880.00,,
2025/02/02,116,KSBBLD87,45.51,1060.0,1060.0,1060.0,1060.0,"1,060.00",0.0,0.0,"1,060.00",52.00,"1,050.90","55,120.00",2,9.1,0.00,0.87,0.0,0.0,"1,102.60",880.00,,
2025/02/03,111,KSBBLD87,41.3,1065.0,1065.0,1065.0,1065.0,"1,065.00",0.0,0.0,"1,065.00",25.00,"1,060.00","26,625.00",1,5.0,0.0,0.47,0.0,0.0,"1,102.60",880.00,,
2025/02/05,109,KSBBLD87,46.9,1047.0,1067.9,1047.0,1067.9,"1,067.90",0.0,0.0,"1,048.51",58.00,"1,065.00","60,813.70",3,2.9,20.90,0.27,2.0,1.82,"1,102.60",880.00,,
2025/02/06,112,KSBBLD87,43.46,1049.0,1049.0,1049.0,1049.0,"1,049.00",0.0,0.0,"1,049.00",100.00,"1,067.90","104,900.00",1,-18.9,0.0,-1.77,0.0,0.0,"1,102.60",880.00,,
2025/02/10,112,KSBBLD87,51.08,1069.9,1085.0,1069.9,1085.0,"1,085.00",0.0,0.0,"1,083.22",204.00,"1,049.00","220,977.60",2,36.00,15.10,3.43,1.41,0.16,"1,102.60",880.00,,
2025/02/12,112,KSBBLD87,42.78,1064.0,1064.0,1064.0,1064.0,"1,064.00",0.0,0.0,"1,064.00",100.00,"1,085.00","106,400.00",1,-21.0,0.00,-1.94,0.0,0.0,"1,102.60",880.00,,
2025/02/13,114,KSBBLD87,38.66,1110.0,1110.0,1110.0,1110.0,"1,110.00",0.0,0.0,"1,110.00",100.00,"1,090.00","111,000.00",1,20.0,0.0,1.83,0.0,0.0,"1,110.00","1,029.00","1,065.47","1,044.60"
2025/02/20,112,KSBBLD87,25.51,1058.0,1058.0,1058.0,1058.0,"1,058.00",0.0,0.0,"1,058.00",25.00,"1,064.00","26,450.00",1,-6.0,0.0,-0.56,0.0,0.0,"1,102.60",880.00,,
2025/02/23,120,KSBBLD87,45.47,1060.0,1070.0,1060.0,1070.0,"1,070.00",0.0,0.0,"1,063.83",324.00,"1,058.00","344,680.00",4,12.00,10.00,1.13,0.94,0.58,"1,102.60",880.00,,
2025/01/02,112,KSBBLD87,18.15,1080.0,1080.0,1080.0,1080.0,"1,080.00",0.0,0.0,"1,080.00",15.00,"1,100.00","16,200.00",1,-20.0,0.00,-1.82,0.0,0.0,"1,100.00",880.00,,
2025/01/05,117,KSBBLD87,17.52,1081.0,1081.0,1081.0,1081.0,"1,081.00",0.0,0.0,"1,081.00",25.00,"1,080.00","27,025.00",1,1.0,0.0,0.09,0.0,0.0,"1,100.00",880.00,,
2025/01/06,108,KSBBLD87,30.42,1102.5,1102.6,1102.5,1102.6,"1,102.60",0.0,0.0,"1,102.60",413.00,"1,081.00","455,372.80",3,21.6,0.10,2.0,0.01,0.0,"1,102.60",880.00,,
2025/01/19,111,KSBBLD87,17.0,1080.6,1080.6,1080.6,1080.6,"1,080.60",0.0,0.0,"1,080.60",1.00,"1,102.60","1,080.60",1,-22.00,0.00,-2.0,0.0,0.0,"1,102.60",880.00,,
2025/01/20,110,KSBBLD87,21.04,1065.0,1065.0,1065.0,1065.0,"1,065.00",0.0,0.0,"1,065.00",1.00,"1,080.60","1,065.00",1,-15.6,0.00,-1.44,0.0,0.0,"1,102.60",880.00,,
2025/01/21,111,KSBBLD87,23.28,1051.0,1051.0,1051.0,1051.0,"1,051.00",0.0,0.0,"1,051.00",35.00,"1,065.00","36,785.00",1,-14.0,0.0,-1.31,0.0,0.0,"1,102.60",880.00,,
2025/01/26,112,KSBBLD87,27.42,1045.1,1047.1,1045.1,1047.1,"1,047.10",0.0,0.0,"1,046.08",49.00,"1,051.00","51,257.90",2,-3.90,2.00,-0.37,0.19,0.1,"1,102.60",880.00,,
2024/12/08,116,KSBBLD87,20.85,1060.1,1060.1,1060.1,1060.1,"1,060.10",0.0,0.0,"1,060.10",20.00,"1,061.00","21,202.00",1,-0.9,0.0,-0.08,0.0,0.0,"1,100.00",880.00,,
2024/12/09,114,KSBBLD87,40.01,1080.0,1080.0,1080.0,1080.0,"1,080.00",0.0,0.0,"1,080.00",25.00,"1,060.10","27,000.00",1,19.9,0.0,1.88,0.0,0.0,"1,100.00",880.00,,
2024/12/12,107,KSBBLD87,37.76,1070.0,1070.0,1070.0,1070.0,"1,070.00",0.0,0.0,"1,070.00",25.00,"1,080.00","26,750.00",1,-10.0,0.0,-0.93,0.0,0.0,"1,100.00",880.00,,
2024/12/17,111,KSBBLD87,25.09,1065.0,1070.0,1065.0,1066.0,"1,066.00",0.0,0.0,"1,066.88",80.00,"1,070.00","85,350.00",3,-4.0,5.0,-0.37,0.47,-0.08,"1,100.00",880.00,,
2024/12/18,111,KSBBLD87,25.51,1064.1,1075.0,1064.1,1075.0,"1,075.00",0.0,0.0,"1,069.54",50.00,"1,066.00","53,477.00",3,9.0,10.9,0.84,1.02,0.51,"1,100.00",880.00,,
2024/12/23,114,KSBBLD87,41.19,1096.5,1100.0,1096.5,1100.0,"1,100.00",0.0,0.0,"1,099.05",370.00,"1,075.00","406,650.00",3,25.00,3.50,2.33,0.32,0.09,"1,100.00",880.00,,
2024/11/12,111,KSBBLD87,-,1057.0,1078.0,1057.0,1078.0,"1,078.00",0.0,0.0,"1,077.00",210.00,"1,078.00","226,170.00",2,0.0,21.0,0.0,1.99,0.09,"1,100.00",880.00,,
2024/11/13,109,KSBBLD87,31.18,1078.0,1078.0,1078.0,1078.0,"1,078.00",0.0,0.0,"1,078.00",100.00,"1,078.00","107,800.00",1,0.0,0.0,0.0,0.0,0.0,"1,100.00",880.00,,
2024/11/14,112,KSBBLD87,31.56,1057.0,1078.1,1057.0,1078.1,"1,078.10",0.0,0.0,"1,075.76",225.00,"1,078.00","242,045.00",2,0.1,21.10,0.01,2.0,0.22,"1,100.00",880.00,,
2024/11/17,116,KSBBLD87,33.17,1072.0,1076.0,1072.0,1075.1,"1,075.10",0.0,0.0,"1,075.38",210.00,"1,078.10","225,830.00",3,-3.0,4.00,-0.28,0.37,-0.03,"1,100.00",880.00,,
2024/11/20,112,KSBBLD87,21.51,1067.5,1067.5,1067.5,1067.5,"1,067.50",0.0,0.0,"1,067.50",25.00,"1,075.10","26,687.50",1,-7.6,0.0,-0.71,0.0,0.0,"1,100.00",880.00,,
2024/11/21,110,KSBBLD87,25.22,1061.0,1062.0,1061.0,1062.0,"1,062.00",0.0,0.0,"1,061.67",75.00,"1,067.50","79,625.00",2,-5.5,1.0,-0.52,0.09,0.03,"1,100.00",880.00,,
2024/11/24,114,KSBBLD87,40.11,1083.2,1083.2,1083.2,1083.2,"1,083.20",0.0,0.0,"1,083.20",35.00,"1,062.00","37,912.00",1,21.2,0.0,2.0,0.0,0.0,"1,100.00",880.00,,
2024/12/02,113,KSBBLD87,27.99,1062.0,1062.0,1056.1,1059.0,"1,059.00",0.0,0.0,"1,059.02",110.00,"1,083.20","116,492.50",4,-24.2,5.9,-2.23,0.56,0.0,"1,100.00",880.00,,
2024/10/08,114,KSBBLD87,38.66,1110.0,1110.0,1110.0,1110.0,"1,110.00",0.0,0.0,"1,110.00",100.00,"1,090.00","111,000.00",1,20.0,0.0,1.83,0.0,0.0,"1,110.00","1,029.00","1,065.47","1,044.60"
2024/10/09,102,KSBBLD87,-,1040.0,1040.0,1040.0,1040.0,"1,040.00",0.0,0.0,"1,040.00",205.00,"1,052.00","213,200.00",5,-12.00,0.00,-1.14,0.0,0.0,"1,072.00",880.00,,
2024/10/15,105,KSBBLD87,-,1040.0,1060.0,1040.0,1060.0,"1,060.00",0.0,0.0,"1,050.00",200.00,"1,040.00","210,000.00",2,20.00,20.00,1.92,1.92,0.94,"1,072.00",880.00,,
2024/10/16,110,KSBBLD87,-,1072.0,1072.0,1050.6,1050.6,"1,050.60",0.0,0.0,"1,067.72",125.00,"1,060.00","133,465.00",2,-9.4,21.40,-0.89,2.04,-1.63,"1,072.00",880.00,,
2024/10/17,111,KSBBLD87,-,1040.0,1040.0,1040.0,1040.0,"1,040.00",0.0,0.0,"1,040.00",25.00,"1,050.60","26,000.00",1,-10.6,0.0,-1.01,0.0,0.0,"1,072.00",880.00,,
2024/10/20,109,KSBBLD87,-,1055.0,1060.8,1055.0,1060.8,"1,060.80",0.0,0.0,"1,055.43",630.00,"1,040.00","664,920.00",5,20.8,5.80,2.0,0.55,0.51,"1,072.00",880.00,,
2024/10/21,109,KSBBLD87,-,1072.0,1072.0,1072.0,1072.0,"1,072.00",0.0,0.0,"1,072.00",380.00,"1,060.80","407,360.00",2,11.2,0.00,1.06,0.0,0.0,"1,072.00",880.00,,
2024/10/22,110,KSBBLD87,-,1072.0,1075.0,1072.0,1075.0,"1,075.00",0.0,0.0,"1,074.00",100.00,"1,072.00","107,400.00",3,3.00,3.00,0.28,0.28,0.09,"1,075.00",880.00,,
