Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,87,HRL,35.38,964.0,1003.0,958.0,997.02,"1,000.00",-2.98,0.0,987.62,"236,887.00",964.61,"233,954,226.70","2,133",32.41,45.0,3.36,4.7,0.94,"1,156.00",746.20,,
2025/08/26,88,HRL,40.09,997.3,1012.9,991.0,1010.98,"1,012.00",-1.02,0.0,"1,004.35","216,172.00",997.02,"217,112,874.10","1,949",13.96,21.9,1.4,2.21,0.66,"1,156.00",746.20,,
2025/08/27,91,HRL,43.57,1031.1,1058.0,997.0,1055.08,"1,055.00",0.08,0.0,"1,040.08","629,062.00","1,010.98","654,274,255.70","4,616",44.10,61.0,4.36,6.12,1.42,"1,156.00",746.20,,
2025/08/28,92,HRL,44.44,1056.0,1074.8,1030.0,1032.21,"1,030.10",2.11,0.0,"1,049.80","578,159.00","1,055.08","606,949,761.00","4,291",-22.87,44.8,-2.17,4.35,-1.7,"1,156.00",746.20,,
2025/08/31,88,HRL,40.55,1034.0,1035.0,1008.0,1009.23,"1,009.00",0.23,0.0,"1,017.04","283,986.00","1,032.21","288,825,494.50","2,616",-22.98,27.0,-2.23,2.68,-0.77,"1,156.00",746.20,,
2025/09/01,92,HRL,39.62,1010.0,1019.3,1001.0,1012.82,"1,013.00",-0.18,0.0,"1,011.47","175,677.00","1,009.23","177,692,280.60","1,808",3.59,18.3,0.36,1.83,0.13,"1,156.00",746.20,,
2025/09/02,91,HRL,35.0,1033.0,1033.0,998.1,999.52,"1,000.00",-0.48,0.0,"1,005.43","200,017.00","1,012.82","201,103,408.10","1,757",-13.3,34.9,-1.31,3.5,-0.59,"1,156.00",746.20,,
2025/09/03,95,HRL,27.77,1019.5,1019.5,990.1,993.13,990.10,3.03,0.0,996.23,"250,403.00",999.52,"249,459,561.20","1,604",-6.39,29.4,-0.64,2.97,-0.31,"1,156.00",746.20,,
2025/09/04,93,HRL,23.52,974.0,1004.9,974.0,990.49,995.00,-4.51,0.0,988.60,"178,942.00",993.13,"176,902,910.10","1,575",-2.64,30.9,-0.27,3.17,0.19,"1,156.00",746.20,,
2025/09/07,97,HRL,21.67,971.0,1004.0,971.0,989.9,988.00,1.9,0.0,994.05,"130,818.00",990.49,"130,039,139.80","1,358",-0.59,33.0,-0.06,3.4,-0.42,"1,156.00",746.20,,
2025/09/08,92,HRL,24.93,1000.0,1000.0,970.0,975.49,974.00,1.49,0.0,979.43,"223,843.00",989.90,"219,239,472.40","1,468",-14.41,30.0,-1.46,3.09,-0.4,"1,156.00",746.20,,
2025/09/18,74,HRL,16.93,965.0,965.0,878.0,878.0,878.00,0.0,0.0,893.61,"19,092.00",975.49,"17,060,801.00",141,-97.49,87.0,-9.99,9.91,-1.78,"1,156.00",746.20,,
2025/09/21,94,HRL,25.73,860.5,898.6,822.0,874.55,870.00,4.55,0.01,856.07,"563,832.00",878.00,"482,681,640.60","4,538",-3.45,76.60,-0.39,9.32,2.11,"1,156.00",746.20,,
2025/09/23,94,HRL,21.79,875.0,902.0,860.7,890.0,890.00,0.0,0.0,886.52,"177,381.00",874.55,"157,251,416.50","1,878",15.45,41.3,1.77,4.8,0.39,"1,156.00",746.20,,
2025/09/24,87,HRL,21.25,890.0,895.0,868.0,869.0,869.00,0.0,0.0,878.64,"152,233.00",890.00,"133,757,947.00","1,282",-21.00,27.0,-2.36,3.11,-1.11,"1,156.00",746.20,,
2025/09/25,91,HRL,26.86,886.3,886.3,855.0,855.0,855.00,0.0,0.0,860.71,"132,240.00",869.00,"113,820,288.70","1,171",-14.0,31.3,-1.61,3.66,-0.67,"1,156.00",746.20,971.50,943.68
2025/07/30,90,HRL,42.86,1063.0,1111.0,1056.2,1087.35,"1,083.10",4.25,0.0,"1,090.57","1,211,491.00","1,059.18","1,321,218,195.00","7,981",28.17,54.8,2.66,5.19,-0.3,"1,156.00",650.30,,
2025/07/31,88,HRL,44.8,1109.0,1139.9,1091.6,1103.73,"1,100.70",3.03,0.0,"1,119.76","1,195,623.00","1,087.35","1,338,816,770.00","8,747",16.38,48.3,1.51,4.42,-1.45,"1,156.00",700.00,,
2025/08/03,91,HRL,38.52,1103.8,1105.0,1053.0,1058.21,"1,056.00",2.21,0.0,"1,073.89","666,334.00","1,103.73","715,566,759.10","5,424",-45.52,52.0,-4.12,4.94,-1.48,"1,156.00",746.20,,
2025/08/04,90,HRL,36.12,1058.0,1075.0,1028.1,1046.01,"1,045.00",1.01,0.0,"1,048.17","533,953.00","1,058.21","559,675,367.60","3,803",-12.2,46.9,-1.15,4.56,-0.21,"1,156.00",746.20,,
2025/08/05,93,HRL,32.91,1055.0,1055.0,1000.0,1001.78,"1,004.00",-2.22,0.0,"1,017.70","386,032.00","1,046.01","392,863,218.50","3,198",-44.23,55.0,-4.23,5.5,-1.59,"1,156.00",746.20,,
2025/08/06,93,HRL,28.88,982.0,1023.0,982.0,1002.92,"1,007.80",-4.88,0.0,"1,004.74","278,922.00","1,001.78","280,243,673.10","2,431",1.14,41.00,0.11,4.18,-0.18,"1,156.00",746.20,,
2025/08/07,89,HRL,24.64,983.0,1028.0,983.0,1014.43,"1,013.90",0.53,0.0,"1,015.81","229,247.00","1,002.92","232,871,921.20","1,907",11.51,45.0,1.15,4.58,-0.14,"1,156.00",746.20,,
2025/08/11,91,HRL,27.92,1017.0,1025.0,995.0,1000.54,"1,000.00",0.54,0.0,"1,007.53","425,130.00","1,014.43","428,329,922.50","2,487",-13.89,30.0,-1.37,3.02,-0.7,"1,156.00",746.20,,
2025/08/12,94,HRL,27.34,990.0,1020.0,990.0,1000.51,"1,000.00",0.51,0.0,"1,004.95","238,506.00","1,000.54","239,687,207.10","1,729",-0.03,30.0,0.0,3.03,-0.44,"1,156.00",746.20,,
2025/08/13,86,HRL,25.31,1020.5,1020.5,995.0,996.51,999.00,-2.49,0.0,"1,000.77","160,318.00","1,000.51","160,441,252.10","1,390",-4.0,25.5,-0.4,2.56,-0.43,"1,156.00",746.20,,
2025/08/14,87,HRL,27.68,995.0,1014.7,995.0,1007.01,"1,007.20",-0.19,0.0,"1,006.60","225,114.00",996.51,"226,599,308.00","1,730",10.5,19.7,1.05,1.98,0.04,"1,156.00",746.20,,
2025/08/17,86,HRL,27.26,1015.0,1024.0,1003.0,1006.52,"1,006.20",0.32,0.0,"1,014.71","349,385.00","1,007.01","354,525,499.20","2,344",-0.49,21.0,-0.05,2.09,-0.81,"1,156.00",746.20,,
2025/08/18,95,HRL,26.17,1005.0,1014.9,1000.0,1002.09,"1,002.00",0.09,0.0,"1,004.13","139,176.00","1,006.52","139,750,451.60","1,378",-4.43,14.9,-0.44,1.49,-0.2,"1,156.00",746.20,,
2025/08/19,88,HRL,21.41,983.0,1017.0,983.0,993.73,992.20,1.53,0.0,999.58,"170,459.00","1,002.09","170,387,649.80","1,396",-8.36,34.0,-0.83,3.46,-0.59,"1,156.00",746.20,,
2025/08/20,92,HRL,22.8,990.0,1001.0,983.5,986.48,987.00,-0.52,0.0,990.49,"219,785.00",993.73,"217,695,123.70","2,010",-7.25,17.5,-0.73,1.78,-0.41,"1,156.00",746.20,,
2025/08/21,87,HRL,27.52,985.0,994.0,972.0,974.2,974.00,0.2,0.0,980.71,"245,689.00",986.48,"240,950,301.60","2,002",-12.28,22.0,-1.24,2.26,-0.67,"1,156.00",746.20,,
2025/07/07,86,HRL,46.04,960.0,963.0,930.1,932.63,934.00,-1.37,0.0,944.26,"179,282.00",946.58,"169,288,383.10","1,562",-13.95,32.9,-1.47,3.54,-1.25,"1,156.00",547.30,,
2025/07/08,86,HRL,45.33,930.0,935.0,917.0,923.78,922.00,1.78,0.0,923.37,"99,777.00",932.63,"92,130,838.10","1,006",-8.85,18.0,-0.95,1.96,0.04,"1,156.00",555.10,,
2025/07/09,87,HRL,47.31,920.0,935.0,918.0,926.72,927.00,-0.28,0.0,925.23,"116,498.00",923.78,"107,787,238.90","1,043",2.94,17.0,0.32,1.85,0.16,"1,156.00",555.10,,
2025/07/10,87,HRL,47.11,920.0,940.5,920.0,931.68,931.20,0.48,0.0,932.82,"133,555.00",926.72,"124,582,108.80","1,134",4.96,20.5,0.54,2.23,-0.12,"1,156.00",558.00,,
2025/07/13,87,HRL,30.76,950.3,950.3,923.0,927.52,926.00,1.52,0.0,933.88,"162,656.00",931.68,"151,901,692.90","1,262",-4.16,27.3,-0.45,2.96,-0.69,"1,156.00",575.00,,
2025/07/14,91,HRL,26.37,919.0,933.0,912.0,914.75,914.00,0.75,0.0,920.75,"105,285.00",927.52,"96,941,464.20",928,-12.77,21.00,-1.38,2.3,-0.66,"1,156.00",575.00,,
2025/07/15,88,HRL,27.66,925.0,927.0,913.0,915.28,915.00,0.28,0.0,917.54,"114,099.00",914.75,"104,690,400.70","1,110",0.53,14.00,0.06,1.53,-0.25,"1,156.00",575.00,,
2025/07/16,94,HRL,31.38,915.0,935.0,915.0,922.78,928.00,-5.22,-0.01,925.53,"169,639.00",915.28,"157,005,951.50","1,138",7.5,20.0,0.82,2.19,-0.3,"1,156.00",575.00,,
2025/07/17,87,HRL,48.37,941.2,980.0,930.0,973.92,979.90,-5.98,-0.01,961.66,"288,141.00",922.78,"277,094,695.00","2,511",51.14,50.00,5.54,5.38,1.26,"1,156.00",592.00,,
2025/07/20,88,HRL,50.63,993.3,1020.0,975.0,996.0,997.10,-1.1,0.0,"1,004.67","563,638.00",973.92,"566,270,305.00","4,306",22.08,45.0,2.27,4.62,-0.87,"1,156.00",605.00,,
2025/07/21,88,HRL,49.49,996.0,1046.1,990.0,1039.54,"1,043.00",-3.46,0.0,"1,021.85","736,709.00",996.00,"752,803,938.20","5,592",43.54,56.1,4.37,5.67,1.7,"1,156.00",605.00,,
2025/07/22,90,HRL,50.24,1040.1,1061.2,1030.4,1058.86,"1,060.00",-1.14,0.0,"1,049.11","533,910.00","1,039.54","560,128,479.00","4,614",19.32,30.8,1.86,2.99,0.92,"1,156.00",633.00,,
2025/07/23,89,HRL,52.22,1060.3,1089.0,1042.1,1080.69,"1,076.00",4.69,0.0,"1,070.66","729,485.00","1,058.86","781,028,433.20","4,969",21.83,46.90,2.06,4.5,0.93,"1,156.00",650.30,,
2025/07/24,90,HRL,46.46,1065.0,1100.0,1065.0,1069.98,"1,067.00",2.98,0.0,"1,076.34","476,695.00","1,080.69","513,083,767.50","3,438",-10.71,35.0,-0.99,3.29,-0.59,"1,156.00",650.30,,
2025/07/27,91,HRL,43.74,1091.0,1091.0,1044.0,1047.89,"1,044.00",3.89,0.0,"1,066.28","656,580.00","1,069.98","700,095,310.00","4,165",-22.09,47.0,-2.06,4.5,-1.75,"1,156.00",650.30,,
2025/07/28,90,HRL,38.57,1068.8,1068.8,1030.0,1045.2,"1,050.00",-4.8,0.0,"1,042.04","475,291.00","1,047.89","495,273,122.80","3,886",-2.69,38.8,-0.26,3.77,0.3,"1,156.00",650.30,,
2025/06/12,89,HRL,28.92,927.7,933.0,915.0,917.6,917.00,0.6,0.0,919.66,"196,388.00",927.72,"180,610,023.40","1,438",-10.12,18.0,-1.09,1.97,-0.22,"1,156.00",512.00,,
2025/06/15,89,HRL,37.68,925.0,928.0,912.0,913.66,912.50,1.16,0.0,916.52,"154,620.00",917.60,"141,712,796.00","1,129",-3.94,16.0,-0.43,1.75,-0.31,"1,156.00",512.00,,
2025/06/16,93,HRL,25.61,913.5,922.0,901.0,905.47,905.00,0.47,0.0,911.54,"131,625.00",913.66,"119,981,243.20","1,427",-8.19,21.0,-0.9,2.33,-0.67,"1,156.00",512.00,,
2025/06/17,87,HRL,24.86,915.0,915.0,903.0,904.91,904.00,0.91,0.0,907.95,"78,164.00",905.47,"70,969,002.30",990,-0.56,12.0,-0.06,1.33,-0.34,"1,156.00",512.00,,
2025/06/18,89,HRL,32.34,900.1,910.0,897.0,899.53,898.30,1.23,0.0,902.25,"116,539.00",904.91,"105,147,133.50","1,276",-5.38,13.0,-0.59,1.45,-0.3,"1,156.00",512.00,,
2025/06/19,92,HRL,32.37,881.9,911.9,881.9,893.97,895.00,-1.03,0.0,897.19,"93,582.00",899.53,"83,960,535.10","1,138",-5.56,30.00,-0.62,3.4,-0.36,"1,156.00",512.00,,
2025/06/22,89,HRL,32.15,894.0,902.0,886.0,888.75,889.00,-0.25,0.0,892.89,"94,173.00",893.97,"84,086,184.80","1,114",-5.22,16.00,-0.58,1.81,-0.47,"1,156.00",512.00,,
2025/06/23,93,HRL,32.46,886.1,895.9,880.0,884.95,884.90,0.05,0.0,884.01,"66,621.00",888.75,"58,893,505.10",837,-3.8,15.90,-0.43,1.81,0.11,"1,156.00",512.00,,
2025/06/24,93,HRL,31.63,894.0,901.0,883.0,884.87,883.10,1.77,0.0,891.09,"65,820.00",884.95,"58,651,630.60",903,-0.08,18.00,-0.01,2.04,-0.7,"1,156.00",512.00,,
2025/06/25,89,HRL,29.57,885.0,894.0,875.2,876.92,877.00,-0.08,0.0,880.19,"62,395.00",884.87,"54,919,274.30",848,-7.95,18.8,-0.9,2.15,-0.37,"1,156.00",512.00,,
2025/06/26,91,HRL,26.86,886.3,886.3,855.0,855.0,855.00,0.0,0.0,860.71,"132,240.00",869.00,"113,820,288.70","1,171",-14.0,31.3,-1.61,3.66,-0.67,"1,156.00",746.20,971.50,943.68
2025/06/29,92,HRL,39.65,875.0,900.0,870.5,893.47,893.10,0.37,0.0,889.20,"129,876.00",875.64,"115,486,185.60","1,160",17.83,29.5,2.04,3.39,0.48,"1,156.00",533.00,,
2025/06/30,89,HRL,35.81,894.9,900.0,890.0,891.57,891.00,0.57,0.0,893.70,"47,239.00",893.47,"42,217,663.70",628,-1.90,10.00,-0.21,1.12,-0.24,"1,156.00",533.00,,
2025/07/01,89,HRL,37.99,899.9,900.0,882.3,896.22,895.20,1.02,0.0,894.41,"47,203.00",891.57,"42,218,942.80",676,4.65,17.7,0.52,2.01,0.2,"1,156.00",533.00,,
2025/07/02,90,HRL,40.16,896.0,910.0,890.0,905.25,906.00,-0.75,0.0,905.11,"75,107.00",896.22,"67,980,260.80","1,012",9.03,20.0,1.01,2.25,0.02,"1,156.00",540.00,,
2025/07/03,87,HRL,41.58,915.0,915.0,901.0,907.1,908.00,-0.9,0.0,907.10,"95,369.00",905.25,"86,509,007.50","1,005",1.85,14.0,0.2,1.55,0.0,"1,156.00",540.00,,
2025/05/18,85,HRL,46.19,949.0,990.0,940.0,988.35,990.00,-1.65,0.0,978.16,"432,150.00",943.89,"422,710,017.70","3,079",44.46,50.0,4.71,5.32,1.03,"1,156.00",512.00,,
2025/05/19,91,HRL,47.24,998.0,1015.0,985.0,989.05,992.00,-2.95,0.0,"1,001.29","410,263.00",988.35,"410,794,160.60","3,074",0.7,30.00,0.07,3.05,-1.24,"1,156.00",512.00,,
2025/05/20,86,HRL,42.45,989.0,1004.7,976.1,999.53,999.90,-0.37,0.0,994.11,"178,194.00",989.05,"177,144,010.40","1,763",10.48,28.6,1.06,2.93,0.54,"1,156.00",512.00,,
2025/05/21,91,HRL,26.86,886.3,886.3,855.0,855.0,855.00,0.0,0.0,860.71,"132,240.00",869.00,"113,820,288.70","1,171",-14.0,31.3,-1.61,3.66,-0.67,"1,156.00",746.20,971.50,943.68
2025/05/22,91,HRL,42.9,995.0,995.0,970.0,975.71,973.00,2.71,0.0,980.35,"246,597.00",987.49,"241,752,203.30","2,371",-11.78,25.00,-1.19,2.58,-0.48,"1,156.00",512.00,,
2025/05/25,93,HRL,24.46,950.0,955.0,937.8,939.93,938.00,1.93,0.0,943.71,"151,263.00",933.69,"142,747,752.70","1,617",6.24,17.2,0.67,1.83,-0.4,"1,156.00",512.00,,
2025/05/26,95,HRL,25.1,958.7,960.0,933.1,936.14,933.10,3.04,0.0,942.54,"161,302.00",939.93,"152,033,027.00","1,234",-3.79,26.9,-0.4,2.88,-0.68,"1,156.00",512.00,,
2025/05/27,90,HRL,25.06,935.0,942.8,928.0,935.32,933.70,1.62,0.0,936.08,"89,001.00",936.14,"83,312,025.20",961,-0.82,14.8,-0.09,1.59,-0.08,"1,156.00",512.00,,
2025/05/28,90,HRL,24.62,954.0,954.0,932.0,936.18,938.00,-1.82,0.0,935.15,"108,795.00",935.32,"101,739,463.90","1,160",0.86,22.0,0.09,2.36,0.11,"1,156.00",512.00,,
2025/06/02,89,HRL,42.68,954.9,958.0,944.0,947.07,944.00,3.07,0.0,951.97,"170,214.00",936.18,"162,039,454.40","1,530",10.89,14.00,1.16,1.48,-0.52,"1,156.00",512.00,,
2025/06/03,89,HRL,35.95,930.0,966.0,930.0,935.87,935.50,0.37,0.0,940.11,"96,404.00",947.07,"90,630,035.80","1,009",-11.2,36.0,-1.18,3.87,-0.45,"1,156.00",512.00,,
2025/06/04,87,HRL,35.92,936.0,944.0,925.0,930.61,933.00,-2.39,0.0,931.45,"119,150.00",935.87,"110,982,349.50","1,056",-5.26,19.0,-0.56,2.05,-0.09,"1,156.00",512.00,,
2025/06/05,89,HRL,33.74,912.0,943.0,912.0,927.78,927.00,0.78,0.0,930.48,"100,124.00",930.61,"93,163,111.40","1,121",-2.83,31.0,-0.3,3.4,-0.29,"1,156.00",512.00,,
2025/06/08,88,HRL,28.27,930.0,935.0,910.0,913.37,913.00,0.37,0.0,917.49,"131,188.00",927.78,"120,363,442.90","1,264",-14.41,25.0,-1.55,2.75,-0.45,"1,156.00",512.00,,
2025/06/09,93,HRL,29.28,910.0,942.0,910.0,939.3,941.00,-1.7,0.0,934.24,"166,379.00",913.37,"155,438,260.00","1,498",25.93,32.0,2.84,3.52,0.54,"1,156.00",512.00,,
2025/06/10,88,HRL,37.91,944.0,953.9,935.0,937.62,936.00,1.62,0.0,940.14,"125,074.00",939.30,"117,587,153.00","1,209",-1.68,18.9,-0.18,2.02,-0.27,"1,156.00",512.00,,
2024/08/12,93,HRL,61.3,963.0,1010.0,963.0,1000.1,"1,000.10",0.0,0.0,992.59,"1,237,240.00",953.00,"1,228,072,403.80","11,157",47.1,47.00,4.94,4.88,0.75,"1,020.00",309.20,,
2024/09/09,89,HRL,42.89,827.0,835.0,800.2,802.1,802.10,0.0,0.0,810.54,"344,725.00",827.00,"279,412,096.80","3,492",-24.90,34.8,-3.01,4.35,-1.05,"1,060.00",309.20,,
2024/10/07,82,HRL,-,840.0,881.0,834.0,870.0,870.00,0.0,0.0,863.57,"275,405.00",831.30,"237,832,009.70","2,270",38.70,47.00,4.66,5.64,0.74,"1,060.00",309.20,,
2024/11/10,89,HRL,-,870.0,892.0,870.0,890.9,890.90,0.0,0.0,885.49,"197,701.00",870.00,"175,061,405.90","2,216",20.9,22.00,2.4,2.53,0.61,"1,060.00",309.20,,
2024/12/04,86,HRL,31.41,859.0,860.0,841.0,841.0,841.00,0.0,0.0,849.93,"107,864.00",843.00,"91,676,401.00","1,277",-2.0,19.0,-0.24,2.26,-1.06,"1,060.00",309.20,,
2025/01/01,85,HRL,34.89,790.0,798.0,782.0,793.0,793.00,0.0,0.0,794.01,"48,282.00",790.00,"38,336,495.90",730,3.0,16.0,0.38,2.05,-0.13,"1,060.00",309.20,,
2025/01/27,87,HRL,43.32,863.0,870.0,830.1,832.0,832.00,0.0,0.0,846.27,"282,073.00",863.10,"238,710,864.70","2,560",-31.10,39.90,-3.6,4.81,-1.72,"1,060.00",512.00,,
2025/02/24,89,HRL,56.7,982.0,1021.0,972.0,990.0,990.00,0.0,0.0,997.90,"895,420.00",982.00,"893,538,095.60","7,639",8.00,49.00,0.81,5.04,-0.8,"1,060.00",512.00,,
2025/03/23,91,HRL,24.0,965.1,966.1,935.1,937.62,938.00,-0.38,0.0,945.02,"445,109.00",964.06,"420,634,981.40","2,810",-26.44,31.0,-2.74,3.32,-0.79,"1,156.00",512.00,,
2025/04/20,91,HRL,23.68,1025.0,1030.0,1000.1,1004.34,"1,002.00",2.34,0.0,"1,009.10","184,072.00","1,014.93","185,747,341.50","1,644",-10.59,29.9,-1.04,2.99,-0.47,"1,156.00",512.00,,
2025/05/15,90,HRL,35.46,963.0,970.0,941.2,943.89,943.00,0.89,0.0,950.29,"111,582.00",962.44,"106,035,231.50","1,230",-18.55,28.8,-1.93,3.06,-0.68,"1,156.00",512.00,,
2025/06/11,87,HRL,28.73,939.0,940.0,926.0,927.72,926.00,1.72,0.0,929.99,"107,782.00",937.62,"100,236,551.50",939,-9.9,14.00,-1.06,1.51,-0.25,"1,156.00",512.00,,
2025/07/06,90,HRL,47.07,925.0,954.0,918.0,946.58,948.00,-1.42,0.0,943.84,"362,849.00",907.10,"342,470,070.20","2,777",39.48,36.0,4.35,3.92,0.29,"1,156.00",547.30,,
2025/07/29,91,HRL,39.95,1045.0,1075.0,1045.0,1059.18,"1,059.00",0.18,0.0,"1,061.83","497,059.00","1,045.20","527,790,627.70","3,530",13.98,30.00,1.34,2.87,-0.25,"1,156.00",650.30,,
2025/08/24,92,HRL,28.93,970.9,989.8,963.0,964.61,966.00,-1.39,0.0,971.60,"240,400.00",974.20,"233,573,494.20","1,641",-9.59,26.8,-0.98,2.78,-0.73,"1,156.00",746.20,,
2025/04/21,89,HRL,24.13,1018.9,1018.9,986.0,992.53,991.00,1.53,0.0,997.00,"273,169.00","1,004.34","272,349,661.00","2,121",-11.81,32.9,-1.18,3.34,-0.45,"1,156.00",512.00,,
2025/04/22,91,HRL,30.78,991.0,1029.0,981.2,1019.22,"1,017.00",2.22,0.0,"1,003.72","363,512.00",992.53,"364,865,716.10","2,688",26.69,47.8,2.69,4.87,1.52,"1,156.00",512.00,,
2025/04/23,89,HRL,25.45,1030.0,1030.0,994.7,997.65,997.00,0.65,0.0,"1,003.47","226,087.00","1,019.22","226,871,700.50","1,685",-21.57,35.3,-2.12,3.55,-0.58,"1,156.00",512.00,,
2025/04/24,90,HRL,25.42,997.1,1002.9,988.0,993.28,992.00,1.28,0.0,993.34,"154,580.00",997.65,"153,550,203.80","1,340",-4.37,14.9,-0.44,1.51,-0.01,"1,156.00",512.00,,
2025/04/27,87,HRL,30.88,973.7,1015.0,973.7,991.68,990.00,1.68,0.0,998.59,"255,626.00",993.28,"255,266,309.50","1,789",-1.6,41.3,-0.16,4.24,-0.7,"1,156.00",512.00,,
2025/04/28,92,HRL,35.72,992.0,1014.0,985.0,988.92,985.10,3.82,0.0,996.95,"198,358.00",991.68,"197,753,324.70","1,418",-2.76,29.0,-0.28,2.94,-0.81,"1,156.00",512.00,,
2025/04/29,86,HRL,22.63,1000.0,1001.0,975.0,975.57,977.90,-2.33,0.0,981.25,"137,163.00",988.92,"134,591,839.40","1,286",-13.35,26.0,-1.35,2.67,-0.58,"1,156.00",512.00,,
2025/04/30,89,HRL,28.47,980.0,985.0,965.0,966.71,967.00,-0.29,0.0,971.40,"198,528.00",975.57,"192,850,910.80","1,497",-8.86,20.0,-0.91,2.07,-0.49,"1,156.00",512.00,,
2025/05/04,90,HRL,34.07,971.4,993.9,971.4,977.22,977.40,-0.18,0.0,980.96,"204,080.00",966.71,"200,195,050.10","1,430",10.51,22.5,1.09,2.32,-0.38,"1,156.00",512.00,,
2025/05/05,89,HRL,31.56,980.0,988.0,970.0,970.69,970.00,0.69,0.0,979.17,"144,708.00",977.22,"141,694,180.50","1,223",-6.53,18.0,-0.67,1.86,-0.87,"1,156.00",512.00,,
2025/05/06,92,HRL,33.01,970.0,980.0,950.1,952.37,952.00,0.37,0.0,958.39,"228,694.00",970.69,"219,177,357.30","1,957",-18.32,29.9,-1.89,3.15,-0.63,"1,156.00",512.00,,
2025/05/07,85,HRL,38.32,952.5,977.0,939.0,969.98,967.00,2.98,0.0,955.14,"215,278.00",952.37,"205,621,339.70","1,863",17.61,38.0,1.85,4.05,1.53,"1,156.00",512.00,,
2025/05/08,86,HRL,31.94,980.0,980.0,950.0,951.12,952.00,-0.88,0.0,960.06,"120,454.00",969.98,"115,643,429.80","1,267",-18.86,30.0,-1.94,3.16,-0.94,"1,156.00",512.00,,
2025/05/11,83,HRL,28.6,952.0,963.0,935.0,935.4,936.00,-0.6,0.0,943.06,"155,620.00",951.12,"146,758,255.00","1,391",-15.72,28.0,-1.65,2.99,-0.82,"1,156.00",512.00,,
2025/05/13,86,HRL,32.0,940.0,946.9,936.0,936.66,937.70,-1.04,0.0,938.80,"125,152.00",935.40,"117,492,334.70","1,213",1.26,10.9,0.13,1.16,-0.23,"1,156.00",512.00,,
2025/05/14,89,HRL,40.26,932.0,980.0,932.0,962.44,966.00,-3.56,0.0,964.78,"277,641.00",936.66,"267,862,494.90","2,396",25.78,48.0,2.75,5.15,-0.24,"1,156.00",512.00,,
2025/03/24,92,HRL,23.27,937.0,969.6,926.0,961.79,966.60,-4.81,0.0,952.72,"343,205.00",937.62,"326,977,578.00","2,764",24.17,43.6,2.58,4.71,0.94,"1,156.00",512.00,,
2025/03/25,91,HRL,24.46,962.0,962.0,935.1,939.44,938.50,0.94,0.0,942.46,"246,173.00",961.79,"232,007,165.20","1,897",-22.35,26.9,-2.32,2.88,-0.32,"1,156.00",512.00,,
2025/03/26,91,HRL,26.86,886.3,886.3,855.0,855.0,855.00,0.0,0.0,860.71,"132,240.00",869.00,"113,820,288.70","1,171",-14.0,31.3,-1.61,3.66,-0.67,"1,156.00",746.20,971.50,943.68
2025/03/27,88,HRL,41.04,982.0,1023.0,975.0,1019.71,"1,020.10",-0.39,0.0,"1,005.81","508,860.00",978.47,"511,817,714.50","3,986",41.24,48.0,4.21,4.92,1.36,"1,156.00",512.00,,
2025/03/30,88,HRL,41.04,1019.0,1060.0,1001.0,1040.68,"1,039.00",1.68,0.0,"1,041.51","664,401.00","1,019.71","691,977,411.70","4,885",20.97,59.0,2.06,5.89,-0.08,"1,156.00",512.00,,
2025/04/01,91,HRL,40.16,1040.5,1053.0,1010.0,1020.6,"1,017.00",3.6,0.0,"1,024.32","627,309.00","1,040.68","642,566,622.80","3,944",-20.08,43.00,-1.93,4.26,-0.36,"1,156.00",512.00,,
2025/04/02,88,HRL,39.18,1041.0,1041.0,1019.9,1030.32,"1,028.20",2.12,0.0,"1,031.52","339,935.00","1,020.60","350,651,055.70","2,415",9.72,21.10,0.95,2.07,-0.12,"1,156.00",512.00,,
2025/04/03,90,HRL,45.11,1031.0,1061.9,1022.0,1058.17,"1,057.00",1.17,0.0,"1,047.49","690,450.00","1,030.32","723,238,860.00","4,504",27.85,39.9,2.7,3.9,1.01,"1,156.00",512.00,,
2025/04/07,91,HRL,41.44,1060.0,1075.0,1040.0,1043.62,"1,040.10",3.52,0.0,"1,059.01","475,547.00","1,058.17","503,608,984.60","3,711",-14.55,35.0,-1.38,3.37,-1.47,"1,156.00",512.00,,
2025/04/08,89,HRL,41.01,1064.4,1064.4,1016.1,1039.66,"1,038.00",1.66,0.0,"1,029.91","394,776.00","1,043.62","406,582,599.20","2,896",-3.96,48.30,-0.38,4.75,0.94,"1,156.00",512.00,,
2025/04/09,92,HRL,41.27,1038.0,1054.7,1036.2,1042.96,"1,041.00",1.96,0.0,"1,046.65","262,170.00","1,039.66","274,401,173.50","2,077",3.3,18.50,0.32,1.79,-0.35,"1,156.00",512.00,,
2025/04/10,93,HRL,24.77,1045.0,1059.0,1027.1,1029.73,"1,027.50",2.23,0.0,"1,034.01","295,013.00","1,042.96","305,045,052.30","2,100",-13.23,31.9,-1.27,3.11,-0.42,"1,156.00",512.00,,
2025/04/13,90,HRL,26.22,1029.7,1040.0,1010.0,1011.41,"1,010.10",1.31,0.0,"1,018.61","386,237.00","1,029.73","393,424,714.60","2,467",-18.32,30.0,-1.78,2.97,-0.71,"1,156.00",512.00,,
